"referencia","autor","titulo","tipoUsuario","sector","año","link"
"Índice nacional de ciencia, tecnología e innovación 2015","Nuestra Visión Noticias","Michoacán desciende 2 posiciones en Ciencia y Tecnología","Privado","Privado",2015,"https://www.nuestravision.com.mx/index.php/component/videoflow/latest/64331-michoacan-desciende-2-posiciones-en-ciencia-y-tecnologia?list=ups&start=1930"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Aguascalientes","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/157921/aguascalientes_2016_1024.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Baja California","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/157920/baja_california_2016_1024.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Baja California Sur","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/175892/baja_california_sur_2016_1116.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Campeche","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/157923/campeche_2016_1024.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Chiapas","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/157924/chiapas_2016_1024.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Chihuahua","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/175895/chihuahua_2016_1116.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Ciudad de México","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/145357/ciudad_de_mexico_2016_0923.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Coahuila","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/175897/coahuila_2016_1116.pdf"
"Índice nacional de ciencia, tecnología e innovación 2015","Secretaría de Economía","Información Económica Estatal - Colima","Gubernamental","Público",2016,"https://www.gob.mx/cms/uploads/attachment/file/145359/colima_2016_0923.pdf"
